dev_id	total_seat
"220764-11344"	"72"
"220764-11346"	"64"
"220764-11349"	"64"
"220764-11350"	"56"
"220764-11352"	"64"
"220764-11354"	"56"
"220764-11356"	"56"
"220764-11358"	"56"
"220764-11361"	"291"
"220764-11362"	"294"
"220764-11364"	"48"
"220764-11366"	""
"220764-11368"	"48"
"220764-11370"	""
"220764-11372"	"58"
"220764-11374"	""
"220764-11376"	"58"
"220764-11378"	""
"220764-11380"	"58"
"220764-11308"	""
"220764-11278"	"70"
"220764-11281"	"70"
"220764-11284"	"70"
"220764-11287"	"70"
"220764-11290"	"70"
"220764-11293"	"70"
"220764-11296"	"70"
"220764-11299"	"70"
"220764-11302"	"676"
"220764-11482"	"152"
"220764-11490"	"152"
"220764-11495"	"106"
"220764-11500"	"93"
"220764-11505"	"69"
"220764-11510"	"70"
"220764-11515"	"76"
"220764-11520"	"11"
